,X,Country,Year,Code,CodeYear,aca_pres,aca_year,aca_yrsince,foia_pres,foia_year,foia_yrssince,foia_yearcat
62,941,Guinea,2010,GIN,GIN2010,0,0,0,1,2010,0,NA
63,956,Gambia,2010,GMB,GMB2010,1,2004,6,0,0,0,NA
64,971,Guinea-Bissau,2010,GNB,GNB2010,0,0,0,0,0,0,NA
65,986,Equatorial Guinea,2010,GNQ,GNQ2010,0,0,0,0,0,0,NA
66,1001,Greece,2010,GRC,GRC2010,0,0,0,1,1986,24,4
67,1016,Grenada,2010,GRD,GRD2010,0,0,0,0,0,0,NA
68,1031,Guatemala,2010,GTM,GTM2010,1,2000,10,1,2009,1,1
69,1046,Guyana,2010,GUY,GUY2010,1,1997,13,0,0,0,NA
70,1057,Hong Kong SAR,2010,HKG,HKG2010,1,1974,36,0,0,0,NA
71,1072,Honduras,2010,HND,HND2010,1,2000,10,1,0,0,NA
72,1087,Croatia,2010,HRV,HRV2010,0,2001,9,1,2003,7,2
73,1102,Haiti,2010,HTI,HTI2010,0,0,0,0,0,0,NA
74,1117,Hungary,2010,HUN,HUN2010,1,1994,16,1,1992,18,3
75,1132,Indonesia,2010,IDN,IDN2010,1,2003,7,1,2010,0,NA
76,1147,India,2010,IND,IND2010,1,1946,64,1,2005,5,1
77,1162,Ireland,2010,IRL,IRL2010,0,0,0,1,1998,12,3
78,1177,Iran,2010,IRN,IRN2010,0,0,0,0,0,0,NA
79,1192,Iraq,2010,IRQ,IRQ2010,0,0,0,0,0,0,NA
80,1207,Iceland,2010,ISL,ISL2010,0,0,0,1,1997,13,3
81,1222,Israel,2010,ISR,ISR2010,1,1999,11,1,1999,11,3
82,1237,Italy,2010,ITA,ITA2010,1,2008,2,1,1990,20,3
83,1252,Jamaica,2010,JAM,JAM2010,0,0,0,1,2004,6,2
84,1267,Jordan,2010,JOR,JOR2010,1,2007,3,1,2007,3,1
85,1282,Japan,2010,JPN,JPN2010,0,0,0,1,2001,9,2
86,1297,Kazakhstan,2010,KAZ,KAZ2010,1,1994,16,0,0,0,NA
87,1312,Kenya,2010,KEN,KEN2010,1,2005,5,0,0,0,NA
88,1327,Kyrgyz Republic,2010,KGZ,KGZ2010,1,2005,5,1,2007,3,1
89,1342,Cambodia,2010,KHM,KHM2010,1,1999,11,0,0,0,NA
90,1357,Kiribati,2010,KIR,KIR2010,0,0,0,0,0,0,NA
91,1372,St Kitts and Nevis,2010,KNA,KNA2010,0,0,0,0,0,0,NA
92,1387,South Korea,2010,KOR,KOR2010,1,2008,2,1,1998,12,3
93,1402,Kuwait,2010,KWT,KWT2010,0,0,0,0,0,0,NA
94,1417,Laos,2010,LAO,LAO2010,0,0,0,0,0,0,NA
95,1432,Lebanon,2010,LBN,LBN2010,0,0,0,0,0,0,NA
96,1447,Liberia,2010,LBR,LBR2010,1,2008,2,1,0,0,NA
97,1462,Libya,2010,LBY,LBY2010,0,0,0,0,0,0,NA
98,1477,St Lucia,2010,LCA,LCA2010,0,0,0,0,0,0,NA
99,1492,Liechtenstein,2010,LIE,LIE2010,0,0,0,1,2000,10,2
100,1507,Sri Lanka,2010,LKA,LKA2010,1,1994,16,0,0,0,NA
101,1522,Lesotho,2010,LSO,LSO2010,1,2001,9,0,0,0,NA
102,1537,Lithuania,2010,LTU,LTU2010,1,2000,10,1,2000,10,2
103,1552,Luxembourg,2010,LUX,LUX2010,0,0,0,0,0,0,NA
104,1567,Latvia,2010,LVA,LVA2010,1,2002,8,1,1998,12,3
105,1582,Morocco,2010,MAR,10-Mar,1,2008,2,0,0,0,NA
106,1597,Monaco,2010,MCO,MCO2010,0,0,0,0,0,0,NA
107,1612,Moldova,2010,MDA,MDA2010,1,2002,8,1,2000,10,2
108,1627,Madagascar,2010,MDG,MDG2010,1,2003,7,0,0,0,NA
109,1642,Maldives,2010,MDV,MDV2010,1,2000,10,0,0,0,NA
110,1657,Mexico,2010,MEX,MEX2010,1,2003,7,1,2003,7,2
111,1672,Marshall Islands,2010,MHL,MHL2010,0,0,0,0,0,0,NA
112,1687,Macedonia,2010,MKD,MKD2010,1,2002,8,1,2006,4,1
113,1702,Mali,2010,MLI,MLI2010,1,2007,3,0,0,0,NA
114,1717,Malta,2010,MLT,MLT2010,1,1988,22,0,0,0,NA
115,1732,Myanmar,2010,MMR,MMR2010,0,0,0,0,0,0,NA
116,1747,Montenegro,2010,MNE,MNE2010,1,2001,9,1,2005,5,1
117,1762,Mongolia,2010,MNG,MNG2010,1,2003,7,0,0,0,NA
118,1777,Mozambique,2010,MOZ,MOZ2010,1,2005,5,0,0,0,NA
119,1792,Mauritania,2010,MRT,MRT2010,0,0,0,0,0,0,NA
120,1807,Mauritius,2010,MUS,MUS2010,1,2003,7,0,0,0,NA
121,1822,Malawi,2010,MWI,MWI2010,1,1998,12,0,0,0,NA
122,1837,Malaysia,2010,MYS,MYS2010,1,2009,1,0,0,0,NA
123,1852,Namibia,2010,NAM,NAM2010,1,2006,4,0,0,0,NA
124,1867,Niger,2010,NER,NER2010,0,0,0,0,2011,-1,NA
125,1882,Nigeria,2010,NGA,NGA2010,1,2000,10,0,2011,-1,NA
126,1897,Nicaragua,2010,NIC,NIC2010,1,2009,1,1,2007,3,1
127,1912,Netherlands,2010,NLD,NLD2010,0,0,0,1,1980,30,4
128,1927,Norway,2010,NOR,NOR2010,1,1989,21,1,1970,40,5
129,1942,Nepal,2010,NPL,NPL2010,1,1991,19,1,2007,3,1
130,1957,Nauru,2010,NRU,NRU2010,0,0,0,0,0,0,NA
131,1972,New Zealand,2010,NZL,NZL2010,0,0,0,1,1983,27,4
132,1984,Pakistan,2010,PAK,PAK2010,1,1999,11,1,2002,8,2
133,1999,Panama,2010,PAN,PAN2010,1,2000,10,1,2002,8,2
134,2014,Palau,2010,PCI,PCI2010,0,0,0,0,0,0,NA
135,2029,Peru,2010,PER,PER2010,0,0,0,1,2003,7,2
136,2044,Philippines,2010,PHL,PHL2010,0,0,0,0,0,0,NA
137,2059,Papua New Guinea,2010,PNG,PNG2010,0,0,0,0,0,0,NA
138,2074,Poland,2010,POL,POL2010,1,2006,4,1,2002,8,2
139,2080,Puerto Rico,2010,PRI,PRI2010,0,0,0,0,0,0,NA
140,2095,North Korea,2010,PRK,PRK2010,0,0,0,0,0,0,NA
141,2110,Portugal,2010,PRT,PRT2010,1,2000,10,1,1993,17,3
142,2125,Paraguay,2010,PRY,PRY2010,0,0,0,0,0,0,NA
143,2140,Qatar,2010,QAT,QAT2010,0,0,0,0,0,0,NA
144,2155,Romania,2010,ROM,ROM2010,1,2002,8,1,2001,9,2
145,2170,Russia,2010,RUS,RUS2010,0,0,0,1,2010,0,NA
146,2185,Rwanda,2010,RWA,RWA2010,0,0,0,0,0,0,NA
147,2214,Saudi Arabia,2010,SAU,SAU2010,0,0,0,0,0,0,NA
148,2229,Sudan,2010,SDN,SDN2010,1,2005,5,0,0,0,NA
149,2244,Senegal,2010,SEN,SEN2010,1,2004,6,0,0,0,NA
150,2259,Singapore,2010,SGP,SGP2010,1,1952,58,0,0,0,NA
151,2274,Solomon Islands,2010,SLB,SLB2010,0,0,0,0,0,0,NA
152,2289,Sierra Leone,2010,SLE,SLE2010,1,2008,2,0,0,0,NA
153,2304,El Salvador,2010,SLV,SLV2010,0,0,0,0,2011,-1,NA
154,2319,San Marino,2010,SMR,SMR2010,0,0,0,0,0,0,NA
155,2334,Somalia,2010,SOM,SOM2010,1,2010,0,0,0,0,NA
156,2349,Serbia,2010,SRB,SRB2010,1,2001,9,1,2004,6,2
157,2364,Sao Tome and Principe,2010,STP,STP2010,0,0,0,0,0,0,NA
158,2379,Suriname,2010,SUR,SUR2010,0,0,0,0,0,0,NA
159,2394,Slovakia,2010,SVK,SVK2010,1,2004,6,1,2001,9,2
160,2409,Slovenia,2010,SVN,SVN2010,1,2004,6,1,2003,7,2
161,2424,Sweden,2010,SWE,SWE2010,1,2003,7,1,1766,244,5
162,2439,Swaziland,2010,SWZ,SWZ2010,0,0,0,0,0,0,NA
163,2454,Seychelles,2010,SYC,SYC2010,0,0,0,0,0,0,NA
164,2469,Syria,2010,SYR,SYR2010,0,0,0,0,0,0,NA
165,2484,Chad,2010,TCD,TCD2010,0,0,0,0,0,0,NA
166,2499,Togo,2010,TGO,TGO2010,1,1999,11,0,0,0,NA
167,2514,Thailand,2010,THA,THA2010,1,1999,11,1,1997,13,3
168,2529,Tajikistan,2010,TJK,TJK2010,0,0,0,1,2002,8,2
169,2540,Timor-Leste,2010,TLS,TLS2010,1,2010,0,0,0,0,NA
170,2555,Timor-Leste,2010,TMP,TMP2010,1,2010,0,0,0,0,NA
171,2570,Tonga,2010,TON,TON2010,1,2008,2,0,0,0,NA
172,2585,Trinidad and Tobago,2010,TTO,TTO2010,1,2005,5,1,2001,9,2
173,2600,Tunisia,2010,TUN,TUN2010,0,0,0,0,2011,-1,NA
174,2615,Turkey,2010,TUR,TUR2010,0,0,0,1,2004,6,2
175,2630,Tuvalu,2010,TUV,TUV2010,0,0,0,0,0,0,NA
176,2645,Taiwan,2010,TWN,TWN2010,0,0,0,1,2005,5,1
177,2660,Tanzania,2010,TZA,TZA2010,1,2007,3,0,0,0,NA
178,2675,Uganda,2010,UGA,UGA2010,1,1988,22,1,2006,4,1
179,2690,Ukraine,2010,UKR,UKR2010,1,1990,20,1,1992,18,3
180,2705,Uruguay,2010,URY,URY2010,0,0,0,1,2009,1,1
181,2720,United States,2010,USA,USA2010,1,1978,32,1,1967,43,5
182,2735,Uzbekistan,2010,UZB,UZB2010,0,0,0,1,1997,13,3
183,2750,St Vincent and the Grenadines,2010,VCT,VCT2010,0,0,0,0,2003,7,2
184,2765,Venezuela,2010,VEN,VEN2010,1,1999,11,0,0,0,NA
185,2780,Vietnam,2010,VNM,VNM2010,1,2005,5,0,0,0,NA
186,2795,Vanuatu,2010,VUT,VUT2010,0,0,0,0,0,0,NA
187,2808,Yemen,2010,YEM,YEM2010,1,2007,3,0,0,0,NA
188,2823,Serbia and Montenegro,2010,YUG,YUG2010,0,0,0,0,0,0,NA
189,2838,South Africa,2010,ZAF,ZAF2010,1,2001,9,1,2001,9,2
190,2867,Zambia,2010,ZMB,ZMB2010,1,1996,14,0,0,0,NA
191,2882,Zimbabwe,2010,ZWE,ZWE2010,1,2005,5,1,2002,8,2
