Country,Year,Code,CodeYear,aca_pres,aca_year,aca_yrsince,foia_pres,foia_year,foia_yrssince
Argentina,1996,ARG,ARG1996,0,1999,-3,0,0,
Argentina,1997,ARG,ARG1997,0,1999,-2,0,0,
Argentina,1998,ARG,ARG1998,0,1999,-1,0,0,
Argentina,1999,ARG,ARG1999,1,1999,0,0,0,
Argentina,2000,ARG,ARG2000,1,1999,1,0,0,
Argentina,2001,ARG,ARG2001,1,1999,2,0,0,
Argentina,2002,ARG,ARG2002,1,1999,3,0,0,
Argentina,2003,ARG,ARG2003,1,1999,4,0,0,
Argentina,2004,ARG,ARG2004,1,1999,5,0,0,
Argentina,2005,ARG,ARG2005,1,1999,6,0,0,
Argentina,2006,ARG,ARG2006,1,1999,7,0,0,
Argentina,2007,ARG,ARG2007,1,1999,8,0,0,
Argentina,2008,ARG,ARG2008,1,1999,9,0,0,
Argentina,2009,ARG,ARG2009,1,1999,10,0,0,
Argentina,2010,ARG,ARG2010,1,1999,11,0,0,
Armenia,1996,ARM,ARM1996,0,2004,-8,0,2003,-7
Armenia,1997,ARM,ARM1997,0,2004,-7,0,2003,-6
Armenia,1998,ARM,ARM1998,0,2004,-6,0,2003,-5
Armenia,1999,ARM,ARM1999,0,2004,-5,0,2003,-4
Armenia,2000,ARM,ARM2000,0,2004,-4,0,2003,-3
Armenia,2001,ARM,ARM2001,0,2004,-3,0,2003,-2
Armenia,2002,ARM,ARM2002,0,2004,-2,0,2003,-1
Armenia,2003,ARM,ARM2003,0,2004,-1,1,2004,-1
Armenia,2004,ARM,ARM2004,1,2004,0,1,2004,0
Armenia,2005,ARM,ARM2005,1,2004,1,1,2004,1
Armenia,2006,ARM,ARM2006,1,2004,2,1,2004,2
Armenia,2007,ARM,ARM2007,1,2004,3,1,2004,3
Armenia,2008,ARM,ARM2008,1,2004,4,1,2004,4
Armenia,2009,ARM,ARM2009,1,2004,5,1,2004,5
Armenia,2010,ARM,ARM2010,1,2004,6,1,2004,6
Antigua and Barbuda,1996,ATG,ATG1996,0,0,,0,2004,-8
Antigua and Barbuda,1997,ATG,ATG1997,0,0,,0,2004,-7
Antigua and Barbuda,1998,ATG,ATG1998,0,0,,0,2004,-6
Antigua and Barbuda,1999,ATG,ATG1999,0,0,,0,2004,-5
Antigua and Barbuda,2000,ATG,ATG2000,0,0,,0,2004,-4
Antigua and Barbuda,2001,ATG,ATG2001,0,0,,0,2004,-3
Antigua and Barbuda,2002,ATG,ATG2002,0,0,,0,2004,-2
Antigua and Barbuda,2003,ATG,ATG2003,0,0,,0,2004,-1
Antigua and Barbuda,2004,ATG,ATG2004,0,0,,1,2004,0
Antigua and Barbuda,2005,ATG,ATG2005,0,0,,1,2004,1
Antigua and Barbuda,2006,ATG,ATG2006,0,0,,1,2004,2
Antigua and Barbuda,2007,ATG,ATG2007,0,0,,1,2004,3
Antigua and Barbuda,2008,ATG,ATG2008,0,0,,1,2004,4
Antigua and Barbuda,2009,ATG,ATG2009,0,0,,1,2004,5
Antigua and Barbuda,2010,ATG,ATG2010,0,0,,1,2004,6
Australia,1996,AUS,AUS1996,1,1988,8,1,1982,14
Australia,1997,AUS,AUS1997,1,1988,9,1,1982,15
Australia,1998,AUS,AUS1998,1,1988,10,1,1982,16
Australia,1999,AUS,AUS1999,1,1988,11,1,1982,17
Australia,2000,AUS,AUS2000,1,1988,12,1,1982,18
Australia,2001,AUS,AUS2001,1,1988,13,1,1982,19
Australia,2002,AUS,AUS2002,1,1988,14,1,1982,20
Australia,2003,AUS,AUS2003,1,1988,15,1,1982,21
Australia,2004,AUS,AUS2004,1,1988,16,1,1982,22
Australia,2005,AUS,AUS2005,1,1988,17,1,1982,23
Australia,2006,AUS,AUS2006,1,1988,18,1,1982,24
Australia,2007,AUS,AUS2007,1,1988,19,1,1982,25
Australia,2008,AUS,AUS2008,1,1988,20,1,1982,26
Australia,2009,AUS,AUS2009,1,1988,21,1,1982,27
Australia,2010,AUS,AUS2010,1,1988,22,1,1982,28
Austria,1996,AUT,AUT1996,0,2010,-14,0,0,-14
Austria,1997,AUT,AUT1997,0,2010,-13,0,0,-13
Austria,1998,AUT,AUT1998,0,2010,-12,0,0,-12
Austria,1999,AUT,AUT1999,0,2010,-11,0,0,-11
Austria,2000,AUT,AUT2000,0,2010,-10,0,0,-10
Austria,2001,AUT,AUT2001,0,2010,-9,0,0,-9
Austria,2002,AUT,AUT2002,0,2010,-8,0,0,-8
Austria,2003,AUT,AUT2003,0,2010,-7,0,0,-7
Austria,2004,AUT,AUT2004,0,2010,-6,0,0,-6
Austria,2005,AUT,AUT2005,0,2010,-5,0,0,-5
Austria,2006,AUT,AUT2006,0,2010,-4,0,0,-4
Austria,2007,AUT,AUT2007,0,2010,-3,0,0,-3
Austria,2008,AUT,AUT2008,0,2010,-2,0,0,-2
Austria,2009,AUT,AUT2009,0,2010,-1,0,0,-1
Austria,2010,AUT,AUT2010,1,2010,0,1,2010,0
Azerbaijan,1996,AZE,AZE1996,0,2005,-9,0,2005,-9
Azerbaijan,1997,AZE,AZE1997,0,2005,-8,0,2005,-8
Azerbaijan,1998,AZE,AZE1998,0,2005,-7,0,2005,-7
Azerbaijan,1999,AZE,AZE1999,0,2005,-6,0,2005,-6
Azerbaijan,2000,AZE,AZE2000,0,2005,-5,0,2005,-5
Azerbaijan,2001,AZE,AZE2001,0,2005,-4,0,2005,-4
Azerbaijan,2002,AZE,AZE2002,0,2005,-3,0,2005,-3
Azerbaijan,2003,AZE,AZE2003,0,2005,-2,0,2005,-2
Azerbaijan,2004,AZE,AZE2004,0,2005,-1,0,2005,-1
Azerbaijan,2005,AZE,AZE2005,1,2005,0,1,2005,0
Azerbaijan,2006,AZE,AZE2006,1,2005,1,1,2005,1
Azerbaijan,2007,AZE,AZE2007,1,2005,2,1,2005,2
Azerbaijan,2008,AZE,AZE2008,1,2005,3,1,2005,3
Azerbaijan,2009,AZE,AZE2009,1,2005,4,1,2005,4
Azerbaijan,2010,AZE,AZE2010,1,2005,5,1,2005,5
Burundi,1996,BDI,BDI1996,0,2002,-6,0,0,
Burundi,1997,BDI,BDI1997,0,2002,-5,0,0,
Burundi,1998,BDI,BDI1998,0,2002,-4,0,0,
Burundi,1999,BDI,BDI1999,0,2002,-3,0,0,
Burundi,2000,BDI,BDI2000,0,2002,-2,0,0,
Burundi,2001,BDI,BDI2001,0,2002,-1,0,0,
Burundi,2002,BDI,BDI2002,1,2002,0,0,0,
Burundi,2003,BDI,BDI2003,1,2002,1,0,0,
Burundi,2004,BDI,BDI2004,1,2002,2,0,0,
Burundi,2005,BDI,BDI2005,1,2002,3,0,0,
Burundi,2006,BDI,BDI2006,1,2002,4,0,0,
Burundi,2007,BDI,BDI2007,1,2002,5,0,0,
Burundi,2008,BDI,BDI2008,1,2002,6,0,0,
Burundi,2009,BDI,BDI2009,1,2002,7,0,0,
Burundi,2010,BDI,BDI2010,1,2002,8,0,0,
Belgium,1996,BEL,BEL1996,0,2001,-5,1,0,
Belgium,1997,BEL,BEL1997,0,2001,-4,1,0,
Belgium,1998,BEL,BEL1998,0,2001,-3,1,0,
Belgium,1999,BEL,BEL1999,0,2001,-2,1,0,
Belgium,2000,BEL,BEL2000,0,2001,-1,1,0,
Belgium,2001,BEL,BEL2001,1,2001,0,1,0,
Belgium,2002,BEL,BEL2002,1,2001,1,1,0,
Belgium,2003,BEL,BEL2003,1,2001,2,1,0,
Belgium,2004,BEL,BEL2004,1,2001,3,1,0,
Belgium,2005,BEL,BEL2005,1,2001,4,1,0,
Belgium,2006,BEL,BEL2006,1,2001,5,1,0,
Belgium,2007,BEL,BEL2007,1,2001,6,1,0,
Belgium,2008,BEL,BEL2008,1,2001,7,1,0,
Belgium,2009,BEL,BEL2009,1,2001,8,1,0,
Belgium,2010,BEL,BEL2010,1,2001,9,1,0,
Benin,1996,BEN,BEN1996,0,2004,-8,0,0,
Benin,1997,BEN,BEN1997,0,2004,-7,0,0,
Benin,1998,BEN,BEN1998,0,2004,-6,0,0,
Benin,1999,BEN,BEN1999,0,2004,-5,0,0,
Benin,2000,BEN,BEN2000,0,2004,-4,0,0,
Benin,2001,BEN,BEN2001,0,2004,-3,0,0,
Benin,2002,BEN,BEN2002,0,2004,-2,0,0,
Benin,2003,BEN,BEN2003,0,2004,-1,0,0,
Benin,2004,BEN,BEN2004,1,2004,0,0,0,
Benin,2005,BEN,BEN2005,1,2004,1,0,0,
Benin,2006,BEN,BEN2006,1,2004,2,0,0,
Benin,2007,BEN,BEN2007,1,2004,3,0,0,
Benin,2008,BEN,BEN2008,1,2004,4,0,0,
Benin,2009,BEN,BEN2009,1,2004,5,0,0,
Benin,2010,BEN,BEN2010,1,2004,6,0,0,
Burkina Faso,1996,BFA,BFA1996,0,2007,-11,0,0,
Burkina Faso,1997,BFA,BFA1997,0,2007,-10,0,0,
Burkina Faso,1998,BFA,BFA1998,0,2007,-9,0,0,
Burkina Faso,1999,BFA,BFA1999,0,2007,-8,0,0,
Burkina Faso,2000,BFA,BFA2000,0,2007,-7,0,0,
Burkina Faso,2001,BFA,BFA2001,0,2007,-6,0,0,
Burkina Faso,2002,BFA,BFA2002,0,2007,-5,0,0,
Burkina Faso,2003,BFA,BFA2003,0,2007,-4,0,0,
Burkina Faso,2004,BFA,BFA2004,0,2007,-3,0,0,
Burkina Faso,2005,BFA,BFA2005,0,2007,-2,0,0,
Burkina Faso,2006,BFA,BFA2006,0,2007,-1,0,0,
Burkina Faso,2007,BFA,BFA2007,1,2007,0,0,0,
Burkina Faso,2008,BFA,BFA2008,1,2007,1,0,0,
Burkina Faso,2009,BFA,BFA2009,1,2007,2,0,0,
Burkina Faso,2010,BFA,BFA2010,1,2007,3,0,0,
Bangladesh,1996,BGD,BGD1996,0,2004,-8,0,2009,-13
Bangladesh,1997,BGD,BGD1997,0,2004,-7,0,2009,-12
Bangladesh,1998,BGD,BGD1998,0,2004,-6,0,2009,-11
Bangladesh,1999,BGD,BGD1999,0,2004,-5,0,2009,-10
Bangladesh,2000,BGD,BGD2000,0,2004,-4,0,2009,-9
Bangladesh,2001,BGD,BGD2001,0,2004,-3,0,2009,-8
Bangladesh,2002,BGD,BGD2002,0,2004,-2,0,2009,-7
Bangladesh,2003,BGD,BGD2003,0,2004,-1,0,2009,-6
Bangladesh,2004,BGD,BGD2004,1,2004,0,0,2009,-5
Bangladesh,2005,BGD,BGD2005,1,2004,1,0,2009,-4
Bangladesh,2006,BGD,BGD2006,1,2004,2,0,2009,-3
Bangladesh,2007,BGD,BGD2007,1,2004,3,0,2009,-2
Bangladesh,2008,BGD,BGD2008,1,2004,4,0,2009,-1
Bangladesh,2009,BGD,BGD2009,1,2004,5,1,0,
Bangladesh,2010,BGD,BGD2010,1,2004,6,1,0,
Bulgaria,1996,BGR,BGR1996,0,2008,-12,0,2000,-4
Bulgaria,1997,BGR,BGR1997,0,2008,-11,0,2000,-3
Bulgaria,1998,BGR,BGR1998,0,2008,-10,0,2000,-2
Bulgaria,1999,BGR,BGR1999,0,2008,-9,0,2000,-1
Bulgaria,2000,BGR,BGR2000,0,2008,-8,1,2000,0
Bulgaria,2001,BGR,BGR2001,0,2008,-7,1,2000,1
Bulgaria,2002,BGR,BGR2002,0,2008,-6,1,2000,2
Bulgaria,2003,BGR,BGR2003,0,2008,-5,1,2000,3
Bulgaria,2004,BGR,BGR2004,0,2008,-4,1,2000,4
Bulgaria,2005,BGR,BGR2005,0,2008,-3,1,2000,5
Bulgaria,2006,BGR,BGR2006,0,2008,-2,1,2000,6
Bulgaria,2007,BGR,BGR2007,0,2008,-1,1,2000,7
Bulgaria,2008,BGR,BGR2008,1,2008,0,1,2000,8
Bulgaria,2009,BGR,BGR2009,1,2008,1,1,2000,9
Bulgaria,2010,BGR,BGR2010,1,2008,2,1,2000,10
Bahrain,1996,BHR,BHR1996,0,0,,0,0,
Bahrain,1997,BHR,BHR1997,0,0,,0,0,
Bahrain,1998,BHR,BHR1998,0,0,,0,0,
Bahrain,1999,BHR,BHR1999,0,0,,0,0,
Bahrain,2000,BHR,BHR2000,0,0,,0,0,
Bahrain,2001,BHR,BHR2001,0,0,,0,0,
Bahrain,2002,BHR,BHR2002,0,0,,0,0,
Bahrain,2003,BHR,BHR2003,0,0,,0,0,
Bahrain,2004,BHR,BHR2004,0,0,,0,0,
Bahrain,2005,BHR,BHR2005,0,0,,0,0,
Bahrain,2006,BHR,BHR2006,0,0,,0,0,
Bahrain,2007,BHR,BHR2007,0,0,,0,0,
Bahrain,2008,BHR,BHR2008,0,0,,0,0,
Bahrain,2009,BHR,BHR2009,0,0,,0,0,
Bahrain,2010,BHR,BHR2010,0,0,,0,0,
Bahamas,1996,BHS,BHS1996,0,0,,0,0,
Bahamas,1997,BHS,BHS1997,0,0,,0,0,
Bahamas,1998,BHS,BHS1998,0,0,,0,0,
Bahamas,1999,BHS,BHS1999,0,0,,0,0,
Bahamas,2000,BHS,BHS2000,0,0,,0,0,
Bahamas,2001,BHS,BHS2001,0,0,,0,0,
Bahamas,2002,BHS,BHS2002,0,0,,0,0,
Bahamas,2003,BHS,BHS2003,0,0,,0,0,
Bahamas,2004,BHS,BHS2004,0,0,,0,0,
Bahamas,2005,BHS,BHS2005,0,0,,0,0,
Bahamas,2006,BHS,BHS2006,0,0,,0,0,
Bahamas,2007,BHS,BHS2007,0,0,,0,0,
Bahamas,2008,BHS,BHS2008,0,0,,0,0,
Bahamas,2009,BHS,BHS2009,0,0,,0,0,
Bahamas,2010,BHS,BHS2010,0,0,,0,0,
Bosnia and Herzegovina,1996,BIH,BIH1996,0,0,,0,2002,-6
Bosnia and Herzegovina,1997,BIH,BIH1997,0,0,,0,2002,-5
Bosnia and Herzegovina,1998,BIH,BIH1998,0,0,,0,2002,-4
Bosnia and Herzegovina,1999,BIH,BIH1999,0,0,,0,2002,-3
Bosnia and Herzegovina,2000,BIH,BIH2000,0,0,,0,2002,-2
Bosnia and Herzegovina,2001,BIH,BIH2001,0,0,,0,2002,-1
Bosnia and Herzegovina,2002,BIH,BIH2002,0,0,,1,2002,0
Bosnia and Herzegovina,2003,BIH,BIH2003,0,0,,1,2002,1
Bosnia and Herzegovina,2004,BIH,BIH2004,0,0,,1,2002,2
Bosnia and Herzegovina,2005,BIH,BIH2005,0,0,,1,2002,3
Bosnia and Herzegovina,2006,BIH,BIH2006,0,0,,1,2002,4
Bosnia and Herzegovina,2007,BIH,BIH2007,0,0,,1,2002,5
Bosnia and Herzegovina,2008,BIH,BIH2008,0,0,,1,2002,6
Bosnia and Herzegovina,2009,BIH,BIH2009,0,0,,1,2002,7
Bosnia and Herzegovina,2010,BIH,BIH2010,0,0,,1,2002,8
Belarus,1996,BLR,BLR1996,0,0,,0,0,
Belarus,1997,BLR,BLR1997,0,0,,0,0,
Belarus,1998,BLR,BLR1998,0,0,,0,0,
Belarus,1999,BLR,BLR1999,0,0,,0,0,
Belarus,2000,BLR,BLR2000,0,0,,0,0,
Belarus,2001,BLR,BLR2001,0,0,,0,0,
Belarus,2002,BLR,BLR2002,0,0,,0,0,
Belarus,2003,BLR,BLR2003,0,0,,0,0,
Belarus,2004,BLR,BLR2004,0,0,,0,0,
Belarus,2005,BLR,BLR2005,0,0,,0,0,
Belarus,2006,BLR,BLR2006,0,0,,0,0,
Belarus,2007,BLR,BLR2007,0,0,,0,0,
Belarus,2008,BLR,BLR2008,0,0,,0,0,
Belarus,2009,BLR,BLR2009,1,0,0,0,0,
Belarus,2010,BLR,BLR2010,1,0,0,0,0,
Belize,1996,BLZ,BLZ1996,0,0,,1,1994,2
Belize,1997,BLZ,BLZ1997,0,0,,1,1994,3
Belize,1998,BLZ,BLZ1998,0,0,,1,1994,4
Belize,1999,BLZ,BLZ1999,0,0,,1,1994,5
Belize,2000,BLZ,BLZ2000,0,0,,1,1994,6
Belize,2001,BLZ,BLZ2001,0,0,,1,1994,7
Belize,2002,BLZ,BLZ2002,0,0,,1,1994,8
Belize,2003,BLZ,BLZ2003,0,0,,1,1994,9
Belize,2004,BLZ,BLZ2004,0,0,,1,1994,10
Belize,2005,BLZ,BLZ2005,0,0,,1,1994,11
Belize,2006,BLZ,BLZ2006,0,0,,1,1994,12
Belize,2007,BLZ,BLZ2007,0,0,,1,1994,13
Belize,2008,BLZ,BLZ2008,0,0,,1,1994,14
Belize,2009,BLZ,BLZ2009,0,0,,1,1994,15
Belize,2010,BLZ,BLZ2010,0,0,,1,1994,16
Bolivia,1996,BOL,BOL1996,0,2009,-13,0,0,
Bolivia,1997,BOL,BOL1997,0,2009,-12,0,0,
Bolivia,1998,BOL,BOL1998,0,2009,-11,0,0,
Bolivia,1999,BOL,BOL1999,0,2009,-10,0,0,
Bolivia,2000,BOL,BOL2000,0,2009,-9,0,0,
Bolivia,2001,BOL,BOL2001,0,2009,-8,0,0,
Bolivia,2002,BOL,BOL2002,0,2009,-7,0,0,
Bolivia,2003,BOL,BOL2003,0,2009,-6,0,0,
Bolivia,2004,BOL,BOL2004,0,2009,-5,0,0,
Bolivia,2005,BOL,BOL2005,0,2009,-4,0,0,
Bolivia,2006,BOL,BOL2006,0,2009,-3,0,0,
Bolivia,2007,BOL,BOL2007,0,2009,-2,0,0,
Bolivia,2008,BOL,BOL2008,0,2009,-1,0,0,
Bolivia,2009,BOL,BOL2009,1,2009,0,0,0,
Bolivia,2010,BOL,BOL2010,1,2009,1,0,0,
Brazil,1996,BRA,BRA1996,0,2003,-7,0,0,
Brazil,1997,BRA,BRA1997,0,2003,-6,0,0,
Brazil,1998,BRA,BRA1998,0,2003,-5,0,0,
Brazil,1999,BRA,BRA1999,0,2003,-4,0,0,
Brazil,2000,BRA,BRA2000,0,2003,-3,0,0,
Brazil,2001,BRA,BRA2001,0,2003,-2,0,0,
Brazil,2002,BRA,BRA2002,0,2003,-1,0,0,
Brazil,2003,BRA,BRA2003,1,2003,0,0,0,
Brazil,2004,BRA,BRA2004,1,2003,1,0,0,
Brazil,2005,BRA,BRA2005,1,2003,2,0,0,
Brazil,2006,BRA,BRA2006,1,2003,3,0,0,
Brazil,2007,BRA,BRA2007,1,2003,4,0,0,
Brazil,2008,BRA,BRA2008,1,2003,5,0,0,
Brazil,2009,BRA,BRA2009,1,2003,6,0,0,
Brazil,2010,BRA,BRA2010,1,2003,7,0,0,
Barbados,1996,BRB,BRB1996,0,0,,0,0,
Barbados,1997,BRB,BRB1997,0,0,,0,0,
Barbados,1998,BRB,BRB1998,0,0,,0,0,
Barbados,1999,BRB,BRB1999,0,0,,0,0,
Barbados,2000,BRB,BRB2000,0,0,,0,0,
Barbados,2001,BRB,BRB2001,0,0,,0,0,
Barbados,2002,BRB,BRB2002,0,0,,0,0,
Barbados,2003,BRB,BRB2003,0,0,,0,0,
Barbados,2004,BRB,BRB2004,0,0,,0,0,
Barbados,2005,BRB,BRB2005,0,0,,0,0,
Barbados,2006,BRB,BRB2006,0,0,,0,0,
Barbados,2007,BRB,BRB2007,0,0,,0,0,
Barbados,2008,BRB,BRB2008,0,0,,0,0,
Barbados,2009,BRB,BRB2009,0,0,,0,0,
Barbados,2010,BRB,BRB2010,0,0,,0,0,
Brunei,1996,BRN,BRN1996,1,1982,14,0,0,
Brunei,1997,BRN,BRN1997,1,1982,15,0,0,
Brunei,1998,BRN,BRN1998,1,1982,16,0,0,
Brunei,1999,BRN,BRN1999,1,1982,17,0,0,
Brunei,2000,BRN,BRN2000,1,1982,18,0,0,
Brunei,2001,BRN,BRN2001,1,1982,19,0,0,
Brunei,2002,BRN,BRN2002,1,1982,20,0,0,
Brunei,2003,BRN,BRN2003,1,1982,21,0,0,
Brunei,2004,BRN,BRN2004,1,1982,22,0,0,
Brunei,2005,BRN,BRN2005,1,1982,23,0,0,
Brunei,2006,BRN,BRN2006,1,1982,24,0,0,
Brunei,2007,BRN,BRN2007,1,1982,25,0,0,
Brunei,2008,BRN,BRN2008,1,1982,26,0,0,
Brunei,2009,BRN,BRN2009,1,1982,27,0,0,
Brunei Darussalam,2010,BRN,BRN2010,1,1982,28,0,0,
Bhutan,1996,BTN,BTN1996,0,2006,-10,0,0,
Bhutan,1997,BTN,BTN1997,0,2006,-9,0,0,
Bhutan,1998,BTN,BTN1998,0,2006,-8,0,0,
Bhutan,1999,BTN,BTN1999,0,2006,-7,0,0,
Bhutan,2000,BTN,BTN2000,0,2006,-6,0,0,
Bhutan,2001,BTN,BTN2001,0,2006,-5,0,0,
Bhutan,2002,BTN,BTN2002,0,2006,-4,0,0,
Bhutan,2003,BTN,BTN2003,0,2006,-3,0,0,
Bhutan,2004,BTN,BTN2004,0,2006,-2,0,0,
Bhutan,2005,BTN,BTN2005,0,2006,-1,0,0,
Bhutan,2006,BTN,BTN2006,1,2006,0,0,0,
Bhutan,2007,BTN,BTN2007,1,2006,1,0,0,
Bhutan,2008,BTN,BTN2008,1,2006,2,0,0,
Bhutan,2009,BTN,BTN2009,1,2006,3,0,0,
Bhutan,2010,BTN,BTN2010,1,2006,4,0,0,
Botswana,1996,BWA,BWA1996,1,1994,2,0,0,
Botswana,1997,BWA,BWA1997,1,1994,3,0,0,
Botswana,1998,BWA,BWA1998,1,1994,4,0,0,
Botswana,1999,BWA,BWA1999,1,1994,5,0,0,
Botswana,2000,BWA,BWA2000,1,1994,6,0,0,
Botswana,2001,BWA,BWA2001,1,1994,7,0,0,
Botswana,2002,BWA,BWA2002,1,1994,8,0,0,
Botswana,2003,BWA,BWA2003,1,1994,9,0,0,
Botswana,2004,BWA,BWA2004,1,1994,10,0,0,
Botswana,2005,BWA,BWA2005,1,1994,11,0,0,
Botswana,2006,BWA,BWA2006,1,1994,12,0,0,
Botswana,2007,BWA,BWA2007,1,1994,13,0,0,
Botswana,2008,BWA,BWA2008,1,1994,14,0,0,
Botswana,2009,BWA,BWA2009,1,1994,15,0,0,
Botswana,2010,BWA,BWA2010,1,1994,16,0,0,
Central African Republic,1996,CAF,CAF1996,0,0,,0,0,
Central African Republic,1997,CAF,CAF1997,0,0,,0,0,
Central African Republic,1998,CAF,CAF1998,0,0,,0,0,
Central African Republic,1999,CAF,CAF1999,0,0,,0,0,
Central African Republic,2000,CAF,CAF2000,0,0,,0,0,
Central African Republic,2001,CAF,CAF2001,0,0,,0,0,
Central African Republic,2002,CAF,CAF2002,0,0,,0,0,
Central African Republic,2003,CAF,CAF2003,0,0,,0,0,
Central African Republic,2004,CAF,CAF2004,0,0,,0,0,
Central African Republic,2005,CAF,CAF2005,0,0,,0,0,
Central African Republic,2006,CAF,CAF2006,0,0,,0,0,
Central African Republic,2007,CAF,CAF2007,0,0,,0,0,
Central African Republic,2008,CAF,CAF2008,0,0,,0,0,
Central African Republic,2009,CAF,CAF2009,0,0,,0,0,
Central African Republic,2010,CAF,CAF2010,0,0,,0,0,
Canada,1996,CAN,CAN1996,0,0,,1,1983,13
Canada,1997,CAN,CAN1997,0,0,,1,1983,14
Canada,1998,CAN,CAN1998,0,0,,1,1983,15
Canada,1999,CAN,CAN1999,0,0,,1,1983,16
Canada,2000,CAN,CAN2000,0,0,,1,1983,17
Canada,2001,CAN,CAN2001,0,0,,1,1983,18
Canada,2002,CAN,CAN2002,0,0,,1,1983,19
Canada,2003,CAN,CAN2003,0,0,,1,1983,20
Canada,2004,CAN,CAN2004,0,0,,1,1983,21
Canada,2005,CAN,CAN2005,0,0,,1,1983,22
Canada,2006,CAN,CAN2006,0,0,,1,1983,23
Canada,2007,CAN,CAN2007,0,0,,1,1983,24
Canada,2008,CAN,CAN2008,0,0,,1,1983,25
Canada,2009,CAN,CAN2009,0,0,,1,1983,26
Canada,2010,CAN,CAN2010,0,0,,1,1983,27
Switzerland,1996,CHE,CHE1996,,,,0,2006,-10
Switzerland,1997,CHE,CHE1997,,,,0,2006,-9
Switzerland,1998,CHE,CHE1998,,,,0,2006,-8
Switzerland,1999,CHE,CHE1999,,,,0,2006,-7
Switzerland,2000,CHE,CHE2000,,,,0,2006,-6
Switzerland,2001,CHE,CHE2001,,,,0,2006,-5
Switzerland,2002,CHE,CHE2002,,,,0,2006,-4
Switzerland,2003,CHE,CHE2003,,,,0,2006,-3
Switzerland,2004,CHE,CHE2004,,,,0,2006,-2
Switzerland,2005,CHE,CHE2005,,,,0,2006,-1
